connectionTime,disconnectTime,doneChargingTime,kWhDelivered,siteID,spaceID,stationID,userID_x,parkDuration,WhPerMile,kWhRequested,milesRequested,minutesAvailable,requestedDeparture,temperature,cloud_cover,precipitation,weekday,month
0.6144328703703703,0.7078009259259259,0.705787037037037,10.208,1,1,1,,8067.0,,,,,,17.28,31.94,0.0,0,10
0.214525462962963,0.5860648148148148,0.3981944444444444,11.837,1,1,1,,32101.0,,,,,,18.26,28.74,0.0,1,10
0.6018518518518519,0.7834722222222222,0.7697800925925926,12.034,1,1,1,383.0,15692.0,400.0,15.2,38.0,264.0,0.11851851851851851,18.26,28.74,0.0,1,10
0.21877314814814816,0.6046759259259259,0.4140162037037037,11.985,1,1,1,,33342.0,,,,,,17.14,29.36,0.0,2,10
0.6200925925925925,0.6902777777777778,0.6743518518518519,7.863,1,1,1,,6064.0,,,,,,17.14,29.36,0.0,2,10
0.19141203703703702,0.5746527777777778,0.3708680555555555,12.134,1,1,1,,33112.0,,,,,,17.0,32.06,0.0,3,10
0.6443055555555556,0.7002199074074075,0.7001388888888889,7.94,1,1,1,,4831.0,,,,,,17.0,32.06,0.0,3,10
0.3804050925925926,0.6238657407407407,0.5739351851851852,14.289,1,1,1,335.0,21035.0,275.0,15.125,55.0,289.0,0.9144328703703704,18.81,33.56,0.0,4,10
0.24060185185185184,0.696875,0.33570601851851856,6.457,1,1,1,365.0,39422.0,350.0,10.15,29.0,60.0,0.6156018518518519,20.11,33.61,0.0,0,10
0.25960648148148147,0.5859027777777778,0.3831597222222222,7.416,1,1,1,374.0,28192.0,400.0,16.0,40.0,409.0,0.8769675925925925,18.56,33.56,0.0,1,10
0.6038657407407407,0.8128935185185184,0.7316087962962963,9.909,1,1,1,467.0,18060.0,425.0,21.25,50.0,242.0,0.10525462962962963,18.56,33.56,0.0,1,10
0.2297685185185185,0.643587962962963,0.27875,3.085,1,1,1,590.0,35754.0,600.0,18.0,30.0,585.0,0.9693518518518518,18.19,33.56,0.0,2,10
0.26,0.6479398148148148,0.4321412037037037,12.837864722222225,1,1,1,,33518.0,,,,,,21.38,33.56,0.0,4,10
0.2008449074074074,0.5037847222222223,0.37082175925925925,11.741,1,1,1,,26174.0,,,,,,17.32,29.32,0.0,0,10
0.507199074074074,0.6862152777777778,0.5825925925925926,9.456,1,1,1,,15467.0,,,,,,17.32,29.32,0.0,0,10
0.2167939814814815,0.642349537037037,0.39339120370370373,11.756,1,1,1,,36768.0,,,,,,18.38,28.25,0.0,1,10
0.22633101851851853,0.5974652777777778,0.41974537037037035,12.12,1,1,1,,32066.0,,,,,,18.82,33.53,0.0,2,10
0.21008101851851851,0.5910648148148148,0.5141087962962964,12.695,1,1,1,,32917.0,,,,,,16.5,23.97,0.0,3,10
0.5937962962962964,0.682650462962963,0.6825925925925925,9.673,1,1,1,355.0,7677.0,400.0,12.0,30.0,129.0,0.016712962962962964,16.5,23.97,0.0,3,10
0.2321527777777778,0.6008680555555556,0.4007638888888889,12.044,1,1,1,,31857.0,,,,,,20.44,33.56,0.0,4,10
0.21377314814814813,0.5806481481481481,0.38621527777777775,11.644,1,1,1,,31698.0,,,,,,18.12,32.5,0.0,0,10
